Player Name,Position,Team,GP,MIN,PTS,REB,AST,BLK,STL,FGP,FTP,3PM,TO
James Harden,PGSGSF,HOU,80,37.5,29.3,6.4,7.3,0.6,1.6,0.444,0.879,2.7,4.4
Russell Westbrook,PG,OKC,82,34.9,27.4,8,10.7,0.3,2,0.441,0.814,1.4,4.5
Kevin Durant,SFPF,GSW,81,33.8,26.6,7.5,4.9,1.3,0.9,0.518,0.889,2.7,2.7
DeMarcus Cousins,PFC,SAC,76,35.1,26.5,11.8,3.6,1.5,1.6,0.452,0.73,0.8,3.8
Anthony Davis,PFC,NOR,69,35.8,25.2,10.3,2.2,2,1.3,0.508,0.771,0.5,2
Stephen Curry,PGSG,GSW,81,34.1,25.1,4.8,6.1,0.2,1.8,0.504,0.914,4.4,2.8
LeBron James,SFPF,CLE,77,34.9,25,7.2,7.1,0.6,1.4,0.509,0.729,1.3,3.2
Damian Lillard,PG,POR,81,36.5,24.1,4.2,6.6,0.3,1,0.42,0.884,2.9,3
DeMar DeRozan,SGSF,TOR,79,35.9,21.8,4.4,3.8,0.3,1.1,0.433,0.841,0.5,2.2
Carmelo Anthony,SFPF,NYK,78,34.9,21.5,7.6,3.6,0.5,0.9,0.437,0.816,1.5,2.3
Kemba Walker,PG,CHA,80,35.1,21.3,4.2,5.5,0.5,1.5,0.418,0.847,2.2,2.1
Paul George,SFPF,IND,81,33.7,21.1,6.9,4,0.3,1.7,0.42,0.866,1.8,2.8
Kyrie Irving,PGSG,CLE,76,35.3,21.1,3.1,4.9,0.3,1.2,0.457,0.868,1.9,2.3
Blake Griffin,PFC,LAC,81,35.9,20.9,8.4,4.8,0.6,1,0.503,0.722,0.1,2.3
Isaiah Thomas,PG,BOS,81,33.6,20.7,2.9,6.5,0.1,1.1,0.418,0.872,1.9,2.5
Karl-Anthony Towns,C,MIN,81,33.2,20.5,10.9,2.2,1.6,0.7,0.543,0.805,0.4,2.2
Andrew Wiggins,SGSF,MIN,82,35.7,20.5,3.6,2.1,0.5,1,0.47,0.758,0.6,2.1
C.J. McCollum,PGSG,POR,80,33.3,20.4,3.1,3.9,0.2,1.1,0.442,0.816,2.5,2.3
Kawhi Leonard,SGSF,SAS,77,32.4,20.1,6.6,2.8,0.8,1.9,0.503,0.854,1.6,1.4
