NAME,POS,TEAM,GP,MPG,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,TOTAL
Stephen Curry,PG/SG,GSW,78,33,26.3,4.7,6.6,1.9,0.2,4.3,0.48,0.91,3.1,12.68
Karl-Anthony Towns,C,MIN,81,37,24.9,12.2,2.7,0.8,1.4,1.4,0.54,0.83,2.6,11.21
Anthony Davis,PF/C,NOR,70,36,27.6,11.2,2.2,1.3,2.4,0.9,0.51,0.8,2.2,10.54
James Harden,PG/SG,HOU,81,36,28.5,7,9.2,1.6,0.6,3,0.44,0.86,5,10.4
Kevin Durant,SF/PF,GSW,70,34,25.9,8.1,4.8,1,1.3,2.4,0.52,0.88,2.7,9.55
Giannis Antetokounmpo,SF/PF,MIL,81,36,23.3,8.5,5,1.5,1.6,0.6,0.51,0.76,2.8,9.5
Kawhi Leonard,SG/SF,SAS,74,33.3,23.2,6.5,3.4,1.8,0.8,2.1,0.49,0.87,1.9,9.49
Russell Westbrook,PG,OKC,79,34.5,28.4,9.2,10.2,1.8,0.3,1.9,0.44,0.83,4.9,9.1
Chris Paul,PG,HOU,72,31,18.6,4.7,9.4,1.8,0.2,2,0.47,0.9,2.4,7.48
Nikola Jokic,PF/C,DEN,75,30,17.2,10.3,5,1,0.8,1.3,0.55,0.82,2.4,7.18
Jimmy Butler,SG/SF,MIN,71,37.5,23,5.9,4.8,1.7,0.5,1.4,0.46,0.85,1.9,6.96
John Wall,PG,WAS,78,36.5,21.4,4.6,10.5,1.9,0.7,1.5,0.43,0.81,4.2,6.35
LeBron James,SF/PF,CLE,74,35.5,25.1,7.5,7.7,1.3,0.6,1.5,0.53,0.7,3.7,6.3
Draymond Green,SF/PF,GSW,78,32.5,11.7,8.4,6.6,1.7,1.4,1.3,0.45,0.7,2.6,6.28
DeMarcus Cousins,PF/C,NOR,70,35,27.3,11.8,4.3,1.4,1.4,1.6,0.45,0.76,4,6.17
Damian Lillard,PG,POR,75,36,26.1,4.6,6.6,1,0.3,3,0.43,0.89,2.9,6.13
Kemba Walker,PG,CHA,78,35,22.3,3.9,5.4,1.3,0.4,2.6,0.43,0.85,2.1,5.76
Hassan Whiteside,C,MIA,75,32,15.7,13.1,0.6,0.7,2.5,0,0.57,0.62,1.9,5.7
Paul George,SF/PF,OKC,74,35,22.6,6.4,3.7,1.5,0.3,2.7,0.44,0.88,3,5.69
Myles Turner,PF/C,IND,76,33,16.7,7.4,1.8,0.9,2,0.5,0.51,0.8,1.5,5.68
Kyle Lowry,PG,TOR,71,37,20.8,4.8,6.5,1.7,0.4,2.8,0.44,0.81,2.8,5.22
Kyrie Irving,PG/SG,BOS,70,34,24.3,3.2,5.5,1.2,0.4,2.4,0.47,0.9,2.5,5.2
Rudy Gobert,C,UTA,77,34,12.4,12.6,1.4,0.7,2.4,0,0.63,0.62,1.9,5.15
Otto Porter,SF,WAS,78,33,13.7,6.1,1.7,1.4,0.5,1.7,0.48,0.79,0.8,4.8
C.J. McCollum,PG/SG,POR,78,35,21.6,3.5,3.8,1,0.4,2.6,0.46,0.88,2.2,4.69
Paul Millsap,PF/C,DEN,74,31,15.9,7.5,3.2,1.4,1.1,1.7,0.45,0.76,2,4.58
Klay Thompson,SG/SF,GSW,77,33,20.8,3.6,2.3,0.9,0.5,3.3,0.46,0.86,1.7,4.49
Kristaps Porzingis,PF/C,NYK,72,33,18.1,7.8,1.7,0.8,2,1.6,0.44,0.81,1.9,4.34
Marc Gasol,C,MEM,74,34,17.2,6.6,4.1,0.9,1.3,1.3,0.46,0.82,2.1,4.24
DeAndre Jordan,C,LAC,80,33,12.3,14.1,1.2,0.7,1.9,0,0.71,0.45,1.4,3.72
Al Horford,PF/C,BOS,72,32,13.5,6.9,3.9,0.8,1.2,1.4,0.47,0.79,1.5,3.51
Bradley Beal,SG,WAS,71,34.5,21.6,3.6,3.4,1,0.3,2.6,0.47,0.82,2,3.5
Gordon Hayward,SG/SF,BOS,74,33.5,20.7,5,3.8,1.1,0.3,2,0.45,0.84,2.3,3.4
DeMar DeRozan,SG/SF,TOR,76,35.5,24.5,4.9,3.9,1,0.2,0.6,0.45,0.85,2.2,3.4
Khris Middleton,SG/SF,MIL,72,35,16.9,4.3,3.7,1.5,0.2,2.2,0.44,0.88,2.1,3.19
Mike Conley,PG,MEM,69,33,18.1,3.3,5.9,1.3,0.3,2,0.44,0.85,2.1,2.99
Jeff Teague,PG,MIN,77,33,15.2,3.4,7.1,1.3,0.4,1.5,0.44,0.84,2.7,2.92
Ricky Rubio,PG,UTA,75,32,11.3,3.9,8,1.7,0.1,1.4,0.4,0.87,2.5,2.89
Serge Ibaka,PF/C,TOR,77,31,12.6,6.5,0.9,0.5,1.5,2,0.46,0.81,1.3,2.87
Kevin Love,PF/C,CLE,72,30.5,16.4,10,2,0.8,0.4,2.4,0.42,0.84,1.7,2.87
Trevor Ariza,SG/SF,HOU,80,33,10.4,5.1,2.1,1.6,0.2,2.1,0.4,0.73,1,2.53
Brook Lopez,C,LAL,72,29.5,18.1,6.2,1.8,0.6,1.5,1.1,0.48,0.8,2.1,2.49
