NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Kevin Durant,SF/PF,GSW,70,34,2.88,2.338,2.029,0.113,2.861,1.714,2.487,1.56,-2.187,1.533
Kawhi Leonard,SG/SF,SAS,74,33.3,2.328,1.278,0.912,2.596,1.168,1.237,1.575,1.425,-0.847,1.297
Giannis Antetokounmpo,SF/PF,MIL,81,36,2.349,2.603,2.188,1.665,3.876,-1.147,2.183,-0.069,-2.354,1.255
Draymond Green,SF/PF,GSW,78,32.5,-0.023,2.537,3.465,2.285,3.199,-0.034,0.359,-0.883,-2.019,0.987
LeBron James,SF/PF,CLE,74,35.5,2.717,1.941,4.343,1.044,0.491,0.284,2.791,-0.883,-3.862,0.985
Jimmy Butler,SG/SF,MIN,71,37.5,2.287,0.881,2.029,2.285,0.153,0.125,0.663,1.153,-0.847,0.97
Paul George,SF/PF,OKC,74,35,2.206,1.212,1.151,1.665,-0.524,2.191,0.056,1.56,-2.689,0.759
Klay Thompson,SG/SF,GSW,77,33,1.838,-0.642,0.034,-0.197,0.153,3.145,0.663,1.289,-0.512,0.641
Otto Porter,SF,WAS,78,33,0.386,1.013,-0.444,1.355,0.153,0.602,1.271,0.339,0.996,0.63
Khris Middleton,SG/SF,MIL,72,35,1.04,-0.179,1.151,1.665,-0.863,1.396,0.056,1.56,-1.182,0.516
Robert Covington,SF/PF,PHI,67,30,0.325,1.013,-0.604,2.285,1.168,1.873,-1.16,0.61,-1.014,0.5
Gordon Hayward,SG/SF,BOS,74,33.5,1.817,0.285,1.231,0.424,-0.524,1.078,0.359,1.017,-1.517,0.463
Nicolas Batum,SG/SF,CHA,72,33.5,0.365,1.013,2.667,0.113,0.153,1.078,-1.16,1.017,-1.684,0.396
Carmelo Anthony,SF/PF,OKC,70,34,1.776,1.278,0.752,-0.507,-0.186,0.602,-0.248,0.882,-1.182,0.352
T.J. Warren,SF,PHO,62,31,0.529,0.152,-0.764,0.424,0.491,-0.511,1.575,0.067,0.829,0.31
Tobias Harris,SF/PF,DET,76,31,0.733,0.55,-0.285,-0.507,-0.186,0.125,0.663,1.017,0.326,0.271
DeMar DeRozan,SG/SF,TOR,76,35.5,2.594,0.219,1.311,0.113,-0.863,-1.147,0.359,1.153,-1.349,0.266
Marvin Williams,SF/PF,CHA,75,29,-0.412,1.013,-0.684,-0.507,1.168,0.761,-0.856,0.882,0.996,0.262
Rondae Hollis-Jefferson,SF/PF,BKN,75,26,-0.391,1.477,-0.045,1.355,0.83,-1.624,0.663,0.203,-0.177,0.255
Michael Kidd-Gilchrist,SF,CHA,77,29,-0.289,1.477,-0.684,-0.197,1.507,-2.1,1.271,0.067,1.164,0.246
James Johnson,SF/PF,MIA,71,28,-0.064,0.219,0.673,0.113,2.522,-0.193,0.967,-1.155,-1.014,0.23
Harrison Barnes,SF/PF,DAL,77,35,0.958,0.285,-0.524,-0.507,-0.863,0.602,0.663,0.746,0.494,0.206
Terrence Ross,SG/SF,ORL,75,30,0.181,-0.841,-0.684,0.424,0.153,1.714,-0.248,0.474,0.661,0.204
Markieff Morris,SF/PF,WAS,74,31,0.468,1.212,-0.285,0.424,0.491,-0.352,0.359,0.474,-1.014,0.198
Gary Harris,SG/SF,DEN,74,30,0.365,-1.106,0.114,0.734,-0.863,0.443,0.967,0.746,0.326,0.192
Danilo Gallinari,SF/PF,LAC,60,33.5,1.02,0.351,-0.205,-0.817,-0.524,0.919,-0.856,1.425,0.326,0.182
Nikola Mirotic,SF/PF,CHI,70,28,0.079,1.146,-0.684,-0.507,1.168,1.396,-1.16,0.339,-0.177,0.178
Ben Simmons,SF/PF,PHI,72,30,-0.023,2.404,1.231,0.734,0.153,-1.941,1.271,-1.155,-1.182,0.166
Aaron Gordon,SF/PF,ORL,77,29.5,0.12,1.013,-0.125,-0.197,0.491,-0.67,0.967,-0.612,0.494,0.165
Trevor Ariza,SG/SF,HOU,80,33,-0.289,0.351,-0.125,1.975,-0.863,1.237,-1.16,-0.476,0.661,0.146
Andrew Wiggins,SG/SF,MIN,81,37,2.083,-0.311,0.114,0.113,0.153,-0.352,0.663,0.067,-1.349,0.131
Al-Farouq Aminu,SF/PF,POR,70,29,-0.555,1.676,-0.524,0.113,0.83,0.443,-0.856,-0.34,-0.009,0.086
Moe Harkless,SF,POR,75,29,-0.309,0.086,-0.764,0.424,1.168,-0.352,1.575,-1.562,0.494,0.084
Tim Hardaway Jr,SG/SF,NYK,73,32,0.795,-0.841,0.114,-0.817,-0.863,1.555,-0.248,0.61,0.159,0.051
Rodney Hood,SG/SF,UTA,70,31,0.406,-0.709,0.114,-0.197,-0.524,1.237,-0.856,0.746,0.159,0.042
Jae Crowder,SF/PF,CLE,74,25,-0.248,-0.311,-0.444,0.113,-0.524,0.284,0.056,0.61,0.829,0.04
Evan Fournier,SG/SF,ORL,71,32,0.836,-1.106,0.353,0.113,-1.54,1.078,0.056,0.882,-0.512,0.018
Taurean Prince,SF,ATL,67,28,-0.391,0.152,-0.444,0.734,1.168,-0.352,-0.856,0.474,-0.344,0.016
Thaddeus Young,SF/PF,IND,75,29.5,-0.084,1.146,-0.444,1.355,-0.186,-1.306,1.879,-2.24,-0.009,0.012
Wilson Chandler,SF/PF,DEN,70,28.5,0.243,0.748,-0.524,-0.817,-0.186,0.602,0.056,-0.34,0.326,0.012
Wesley Matthews,SG/SF,DAL,72,33,0.079,-0.642,0.114,0.113,-0.863,1.555,-1.464,0.882,0.326,0.011
C.J. Miles,SG/SF,TOR,71,26,-0.125,-0.974,-1.083,-0.507,-0.186,1.714,-0.856,0.746,1.164,-0.012
Kent Bazemore,SG/SF,ATL,72,28,-0.228,-0.245,0.114,0.734,0.491,0.284,-0.552,-0.34,-0.512,-0.028
Danny Green,SG/SF,SAS,75,26.5,-0.902,-0.642,-0.285,0.113,1.168,0.761,-1.768,0.203,0.661,-0.077
Will Barton,SG/SF,DEN,72,25,0.018,-0.113,0.274,-0.507,-0.524,0.125,-0.248,0.339,-0.177,-0.09
Courtney Lee,SG/SF,NYK,75,27,-0.718,-1.172,-0.365,-0.197,-0.524,-0.511,0.359,1.289,0.996,-0.094
Dario Saric,SF/PF,PHI,80,26,0.345,1.146,0.114,-0.507,-0.186,-0.034,-0.552,0.339,-1.517,-0.095
Josh Richardson,SF,MIA,65,28,-0.596,-1.04,-0.045,0.113,0.83,0.284,-0.552,-0.612,0.661,-0.106
Rudy Gay,SF/PF,SAS,67,26,0.161,-0.113,-0.444,-0.507,-0.186,-0.511,0.056,0.746,-0.344,-0.127
Andre Iguodala,SG/SF,GSW,70,25,-1.107,-0.642,0.673,0.113,-0.186,-0.829,1.271,-1.29,0.829,-0.13
Tony Allen,SG/SF,MEM,65,26.1,-0.616,0.417,-0.764,2.596,-0.186,-1.306,0.663,-2.105,-0.009,-0.145
Norman Powell,SG/SF,TOR,75,26,0.018,-0.841,-0.444,0.113,-0.524,-0.034,-0.248,0.474,0.159,-0.148
Tyreke Evans,SG/SF,MEM,60,25,-0.023,-0.377,2.029,-0.197,-0.524,-0.511,-0.248,-0.476,-1.014,-0.149
Caris LeVert,SG/SF,BKN,70,25,-0.371,-0.377,0.114,-0.197,-1.201,0.125,0.359,-0.204,0.326,-0.158
Jaylen Brown,SG/SF,BOS,80,28,-0.044,-0.046,-0.524,-0.507,-0.186,-0.352,0.663,-0.612,0.159,-0.161
Joe Ingles,SG/SF,UTA,79,27.5,-0.821,-0.709,0.513,1.044,-1.201,0.602,-0.248,-0.476,-0.177,-0.164
James Ennis,SG/SF,MEM,64,25,-0.821,-0.311,-0.843,-0.507,-0.186,-0.034,0.359,0.203,0.661,-0.164
DeMarre Carroll,SF/PF,BKN,67,26,-0.596,-0.179,-0.843,0.734,-0.524,0.284,-0.856,-0.747,0.996,-0.192
P.J. Tucker,SG/SF,HOU,78,26.6,-1.025,0.748,-0.524,1.044,-0.863,-0.352,-1.16,-0.34,0.661,-0.201
Justise Winslow,SF/PF,MIA,75,31,-0.616,0.616,-0.045,0.424,-0.186,-1.147,-0.248,-0.612,-0.009,-0.203
Marcus Morris,SF/PF,BOS,79,29,0.038,0.02,-0.205,-0.817,-0.524,0.125,-0.552,-0.34,0.326,-0.214
Andre Roberson,SG/SF,OKC,72,29.5,-1.086,0.219,-1.003,0.424,1.507,-0.67,0.967,-3.462,1.164,-0.216
Kyle Anderson,SG/SF,SAS,70,20,-1.332,-0.377,-0.285,0.113,0.153,-1.624,0.056,0.067,0.996,-0.248
Jeremy Lamb,SG/SF,CHA,62,18,-0.555,-0.576,-0.843,-1.438,-0.186,-0.511,0.056,0.61,1.164,-0.253
Chandler Parsons,SF/PF,MEM,50,24,-0.412,-0.775,-0.285,-1.128,-0.863,0.284,0.663,-0.476,0.661,-0.259
Tony Snell,SG/SF,MIL,75,29,-0.677,-0.709,-0.764,-1.128,-0.863,0.602,-0.552,0.882,0.829,-0.264
Glenn Robinson III,SG/SF,IND,68,24.5,-0.677,-0.576,-1.003,-0.507,-0.186,-0.67,0.663,-0.612,1.164,-0.267
Evan Turner,SG/SF,POR,74,26,-0.534,-0.311,1.151,-0.507,-0.524,-1.465,-0.248,0.61,-0.679,-0.279
Ersan Ilyasova,SF/PF,ATL,75,23,-0.309,0.351,-0.843,-1.128,-0.524,0.284,-0.552,-0.34,0.494,-0.285
