NAME,POS,TEAM,GP,MPG,Z_PTS,Z_REB,Z_AST,Z_STL,Z_BLK,Z_X3PM,Z_FG.,Z_FT.,Z_TO,Z_AVG
Anthony Davis,PF/C,NOR,70,36,2.927,2.644,-0.165,1.157,3.941,-0.235,0.812,0.496,-0.872,1.19
Stephen Curry,PG/SG,GSW,78,33,2.683,-0.143,2.164,2.803,-0.822,3.916,0.288,1.708,-2.053,1.171
Kevin Durant,SF/PF,GSW,70,34,2.607,1.315,1.212,0.335,1.56,1.596,0.987,1.377,-1.528,1.051
Kawhi Leonard,SG/SF,SAS,74,33.3,2.099,0.629,0.471,2.528,0.477,1.23,0.463,1.267,-0.479,0.965
Karl-Anthony Towns,C,MIN,81,37,2.419,3.073,0.1,-0.214,1.776,0.375,1.336,0.827,-1.397,0.922
Chris Paul,PG,HOU,72,31,1.233,-0.143,3.646,2.528,-0.822,1.108,0.113,1.598,-1.135,0.903
James Harden,PG/SG,HOU,81,36,3.097,0.843,3.541,1.98,0.044,2.329,-0.411,1.157,-4.546,0.893
Russell Westbrook,PG,OKC,79,34.5,3.078,1.787,4.07,2.528,-0.605,0.986,-0.411,0.827,-4.415,0.872
Giannis Antetokounmpo,SF/PF,MIL,81,36,2.118,1.487,1.318,1.706,2.209,-0.601,0.812,0.056,-1.66,0.827
DeMarcus Cousins,PF/C,NOR,70,35,2.871,2.902,0.947,1.432,1.776,0.62,-0.236,0.056,-3.234,0.792
Nikola Jokic,PF/C,DEN,75,30,0.969,2.258,1.318,0.335,0.477,0.253,1.511,0.717,-1.135,0.745
Jimmy Butler,SG/SF,MIN,71,37.5,2.061,0.372,1.212,2.254,-0.172,0.375,-0.062,1.047,-0.479,0.734
Kyle Lowry,PG,TOR,71,37,1.647,-0.1,2.111,2.254,-0.389,2.085,-0.411,0.607,-1.66,0.683
Joel Embiid,PF/C,PHI,55,28,1.967,1.572,-0.059,0.335,4.591,0.742,0.113,0.276,-3.497,0.671
