Rank,Auction,Name,Team,POS,Gs,MPG,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TOV,PTS
1,$70,James Harden,HOU,SG,80,35.4,8.8,19.8,44.5%,8.3,9.7,85.4%,3.7,5.8,8.7,1.6,0.6,4.7,29.6
2,$61,Anthony Davis,NOP,PF,72,36.0,10.5,20.3,51.6%,6.8,8.2,83.0%,0.7,11.3,2.6,1.4,2.4,2.3,28.5
3,$61,Giannis Antetokounmpo,MIL,PF,78,36.0,9.9,19.0,52.2%,6.6,8.4,78.4%,0.7,9.6,5.6,1.5,1.5,3.0,27.1
4,$59,Karl-Anthony Towns,MIN,C,80,36.0,9.0,16.6,54.4%,4.5,5.3,85.1%,1.4,12.4,2.8,0.9,1.4,2.2,24.0
5,$56,Stephen Curry,GSW,PG,72,32.0,8.2,16.7,49.0%,5.1,5.6,91.8%,4.4,4.8,6.2,1.6,0.2,2.9,25.9
6,$52,Russell Westbrook,OKC,PG,80,35.2,9.6,22.2,43.3%,6.0,7.7,77.9%,1.5,10.0,10.4,1.6,0.3,4.9,26.7
7,$51,LeBron James,LAL,PF,75,36.0,10.2,19.5,52.4%,4.6,6.5,71.0%,1.7,8.6,9.2,1.3,0.7,4.2,26.7
8,$48,Nikola Jokic,DEN,C,75,32.0,7.0,13.8,51.0%,3.8,4.4,85.8%,1.5,10.9,6.2,1.2,0.9,2.6,19.3
9,$46,Kevin Durant,GSW,PF,67,34.0,8.6,16.8,51.4%,4.7,5.4,88.6%,2.6,6.7,5.2,0.8,1.6,2.8,24.6
10,$44,Kawhi Leonard,TOR,SF,70,34.0,8.6,18.0,47.9%,5.9,6.8,86.8%,2.0,6.5,3.6,1.7,0.9,2.1,25.1
11,$44,John Wall,WAS,PG,77,36.0,8.0,18.3,43.6%,4.5,5.6,80.0%,1.3,4.1,9.8,1.9,0.9,3.9,21.8
