,Name,Team,POS,Gs,MPG,ZFG%,ZFT%,ZPTS,Z3PM,ZREB,ZAST,ZSTL,ZBLK,ZTOV,ZAVG,ZPUNT
1,Anthony Davis,NOP,PF,72,36.0,0.938,0.695,3.067,-0.661,2.59,-0.084,1.513,3.931,-0.958,1.226,1.038
4,Stephen Curry,GSW,PG,72,32.0,0.457,1.736,2.564,3.745,-0.089,1.855,2.095,-0.831,-1.755,1.086,0.782
3,Karl-Anthony Towns,MIN,C,80,36.0,1.455,0.943,2.197,0.172,3.043,0.024,0.058,1.766,-0.825,0.981,0.813
2,Giannis Antetokounmpo,MIL,PF,78,36.0,1.048,0.151,2.796,-0.661,1.889,1.532,1.804,1.983,-1.888,0.962,0.815
8,Kevin Durant,GSW,PF,67,34.0,0.901,1.357,2.313,1.601,0.694,1.316,-0.233,2.199,-1.623,0.947,0.694
0,James Harden,HOU,SG,80,35.4,-0.375,0.979,3.279,2.911,0.323,3.202,2.095,0.034,-4.148,0.922,0.577
9,Kawhi Leonard,TOR,SF,70,34.0,0.254,1.144,2.41,0.887,0.612,0.455,2.386,0.684,-0.692,0.904,0.655
7,Nikola Jokic,DEN,C,75,32.0,0.827,1.026,1.29,0.291,2.425,1.855,0.931,0.684,-1.357,0.886,0.808
23,Chris Paul,HOU,PG,63,31.5,-0.19,1.665,0.942,1.363,0.159,2.663,2.386,-0.831,-0.825,0.815,0.675
6,LeBron James,LAL,PF,75,36.0,1.085,-0.724,2.719,0.53,1.477,3.471,1.222,0.251,-3.483,0.728,0.65
11,Paul George,OKC,SF,77,35.5,-0.282,1.05,2.004,1.72,0.612,0.562,2.677,-0.398,-1.755,0.688,0.448
12,Damian Lillard,POR,PG,74,36.0,-0.486,1.617,2.7,2.197,-0.212,1.963,0.349,-0.615,-1.49,0.669,0.244
19,Jimmy Butler,MIN,SG,67,36.5,-0.005,0.873,1.869,0.053,0.2,1.047,2.677,-0.182,-0.559,0.664,0.462
33,Kyrie Irving,BOS,PG,60,32.0,0.365,1.677,2.313,1.84,-0.624,1.424,0.349,-0.615,-0.958,0.641,0.254
5,Russell Westbrook,OKC,PG,80,35.2,-0.597,0.092,2.719,0.291,2.054,4.117,2.095,-0.615,-4.414,0.638,0.419
10,John Wall,WAS,PG,77,36.0,-0.541,0.34,1.772,0.053,-0.377,3.794,2.968,0.684,-3.085,0.623,0.499
31,Rudy Gobert,UTA,C,70,33.0,2.786,-0.96,0.227,-1.495,2.919,-0.731,-0.524,3.715,-0.426,0.612,0.892
28,Joel Embiid,PHI,C,58,31.0,0.272,0.128,2.352,0.172,2.507,0.401,-0.233,3.065,-3.218,0.605,0.424
14,Andre Drummond,DET,C,79,33.0,1.178,-2.024,0.517,-1.495,4.65,-0.138,1.804,1.983,-1.091,0.598,0.984
30,Otto Porter,WAS,SF,76,32.0,0.586,0.612,0.497,0.887,0.447,-0.407,1.513,-0.182,1.036,0.554,0.554
13,Ben Simmons,PHI,PG,79,35.0,1.806,-2.284,1.251,-1.376,1.436,3.525,2.386,0.9,-2.686,0.551,0.856
15,Draymond Green,GSW,PF,75,32.5,-0.245,-0.014,-0.256,-0.066,1.189,2.394,1.804,1.55,-1.49,0.541,0.734
17,Victor Oladipo,IND,SG,72,33.0,-0.098,0.305,1.521,0.887,-0.047,0.67,2.677,0.251,-1.357,0.534,0.426
62,Kristaps Porzingis,NYK,PF,60,31.5,-0.449,0.364,1.347,0.887,0.818,-0.731,-0.524,3.498,-0.426,0.532,0.439
20,Kyle Lowry,TOR,PG,75,32.0,-0.615,0.884,0.807,2.197,0.076,1.963,0.931,-0.615,-0.958,0.519,0.426
32,Kevin Love,CLE,C,70,32.0,-0.467,1.085,1.019,1.84,2.178,-0.246,-0.233,-0.182,-0.426,0.508,0.352
64,Larry Nance,CLE,C,70,26.0,2.139,-0.842,-0.333,-1.376,1.23,-0.677,1.804,0.9,1.169,0.446,0.741
16,Khris Middleton,MIL,SF,78,35.0,-0.264,1.369,1.29,1.006,-0.006,0.67,1.513,-0.615,-0.958,0.445,0.192
21,Kemba Walker,CHO,PG,78,33.0,-0.652,1.062,1.676,1.84,-0.707,1.37,0.64,-0.615,-0.692,0.436,0.169
26,Marc Gasol,MEM,C,75,33.0,-0.282,0.66,0.729,0.41,0.983,0.885,-0.233,1.766,-1.091,0.425,0.348
52,Mike Conley,MEM,PG,65,32.0,-0.56,0.884,1.038,1.244,-0.748,1.747,1.222,-0.615,-0.426,0.421,0.266
34,Klay Thompson,GSW,SG,76,34.0,0.198,0.849,1.521,2.673,-0.542,-0.3,-0.524,-0.182,-0.028,0.407,0.185
60,Lauri Markkanen,CHI,PF,70,32.0,-0.393,0.991,1.019,1.84,1.189,-0.731,-0.815,0.034,0.504,0.404,0.233
25,Bradley Beal,WAS,SG,77,35.0,0.087,0.447,1.946,1.84,-0.418,0.562,0.349,-0.398,-0.825,0.399,0.171
44,Gary Harris,DEN,SG,70,33.0,0.309,0.624,0.884,1.363,-0.872,0.024,2.095,-0.831,-0.028,0.396,0.294
22,Donovan Mitchell,UTA,SG,77,35.0,-0.449,0.423,1.869,1.601,-0.418,0.67,1.804,-0.398,-1.623,0.387,0.17
45,Myles Turner,IND,C,70,30.0,0.642,0.34,0.362,-0.423,0.694,-0.731,-0.524,2.849,0.238,0.383,0.392
24,Jrue Holiday,NOP,SG,75,34.0,0.18,0.021,0.884,0.41,-0.336,2.017,1.513,0.251,-1.49,0.383,0.364
41,Clint Capela,HOU,C,73,28.0,3.359,-2.497,0.401,-1.495,2.425,-0.946,-0.233,2.416,-0.028,0.378,0.785
50,DeAndre Jordan,DAL,C,79,32.0,3.766,-2.261,-0.352,-1.495,3.661,-0.784,-0.815,1.55,0.105,0.375,0.855
36,Tobias Harris,LAC,PF,78,32.0,-0.042,0.873,0.961,1.006,0.117,0.024,0.64,-0.182,-0.028,0.374,0.219
29,Eric Bledsoe,MIL,PG,70,31.0,0.087,0.222,1.058,0.649,-0.336,1.424,2.095,-0.182,-1.755,0.362,0.283
42,LaMarcus Aldridge,SAS,C,72,32.5,0.642,0.589,1.193,-1.019,1.148,-0.461,-0.815,1.55,0.371,0.355,0.202
27,C.J. McCollum,POR,SG,80,35.5,-0.208,0.943,1.657,1.363,-0.542,0.508,0.349,-0.398,-0.692,0.331,0.054
78,Nikola Mirotic,NOP,PF,68,28.0,-0.763,0.459,0.266,1.84,1.065,-0.677,-0.233,0.467,0.504,0.325,0.315
38,Jayson Tatum,BOS,SF,77,32.0,0.346,0.695,0.594,0.41,0.117,-0.515,0.64,0.467,0.105,0.318,0.224
54,Robert Covington,PHI,SF,73,28.0,-1.151,0.825,-0.256,1.363,0.035,-0.623,2.095,0.467,0.105,0.318,0.327
18,Devin Booker,PHO,SG,75,34.5,-0.652,1.286,2.371,1.959,-0.212,1.047,0.058,-0.615,-2.42,0.314,-0.119
57,Nikola Vucevic,ORL,C,69,28.0,0.235,-0.168,0.536,-0.304,1.601,0.077,0.058,0.9,-0.16,0.308,0.344
55,Jarrett Allen,BRK,C,74,27.0,2.49,0.459,-0.082,-1.376,1.024,-0.892,-0.815,1.983,-0.028,0.307,0.341
63,Hassan Whiteside,MIA,C,69,26.0,1.511,-1.114,0.208,-1.495,2.548,-1.108,-0.524,2.849,-0.16,0.302,0.517
51,Al Horford,BOS,C,71,32.0,0.18,0.068,0.15,0.053,0.859,1.047,-0.524,1.117,-0.293,0.295,0.348
71,Paul Millsap,DEN,PF,65,32.0,-0.098,-0.452,0.497,-0.185,0.859,0.185,1.222,1.117,-0.559,0.287,0.363
58,Aaron Gordon,ORL,PF,73,33.0,-0.467,-0.393,0.98,0.53,0.818,-0.192,0.64,0.467,0.105,0.276,0.272
203,DeMarcus Cousins,GSW,C,35,26.0,-0.061,-0.298,1.096,0.768,1.518,0.562,0.64,0.9,-2.686,0.271,0.234
35,Jamal Murray,DEN,PG,80,32.0,-0.282,1.499,0.922,1.125,-0.501,0.401,0.349,-0.398,-0.692,0.269,0.0
65,Josh Richardson,MIA,SF,72,32.0,-0.375,0.683,0.034,0.768,-0.748,0.024,1.222,0.684,0.105,0.266,0.24
39,Kris Dunn,CHI,PG,72,32.0,-0.652,-0.487,0.44,-0.423,-0.253,1.909,2.968,0.251,-1.357,0.266,0.349
46,Gordon Hayward,BOS,SF,70,32.0,-0.153,0.778,1.502,0.768,-0.006,0.347,0.349,-0.615,-0.692,0.253,-0.0
83,Blake Griffin,DET,PF,60,34.0,-0.467,0.009,1.56,0.768,0.9,1.855,-0.524,-0.398,-1.623,0.231,0.073
87,Jabari Parker,CHI,PF,62,32.0,0.383,-0.038,0.961,0.053,0.447,-0.03,0.64,-0.182,-0.293,0.216,0.145
113,Dewayne Dedmon,ATL,C,65,24.0,1.936,-0.109,-0.662,-0.542,1.23,-0.838,-0.524,0.9,0.504,0.211,0.381
66,Enes Kanter,NYK,C,72,26.0,2.121,0.695,0.285,-1.376,2.26,-0.731,-1.106,0.034,-0.293,0.21,0.13
56,Luka Doncic,DAL,0,72,31.0,-0.818,0.175,0.42,0.649,0.653,1.532,0.349,-0.398,-0.692,0.208,0.182
43,John Collins,ATL,PF,77,27.5,2.102,-0.274,0.111,-1.257,1.354,-0.623,-0.524,1.117,-0.16,0.205,0.287
110,Dirk Nowitzki,DAL,C,72,26.5,-0.282,1.44,-0.179,0.41,0.365,-0.731,-0.815,0.251,1.169,0.181,0.052
68,Buddy Hield,SAC,SG,80,26.0,-0.523,1.215,0.285,1.363,-0.418,-0.353,0.64,-0.831,0.238,0.18,0.017
40,Joe Ingles,UTA,SF,80,31.0,-0.098,0.222,-0.352,1.363,-0.336,0.832,1.222,-0.831,-0.426,0.177,0.247
84,Jonathan Isaac,ORL,PF,69,27.0,-0.911,0.199,-0.72,-0.423,0.117,-0.946,1.804,2.199,0.238,0.173,0.297
37,DeMar DeRozan,SAS,SG,77,33.5,-0.227,0.778,1.927,-0.185,-0.295,0.993,0.058,-0.831,-0.692,0.17,-0.168
47,Ricky Rubio,UTA,PG,75,30.0,-1.022,1.227,0.111,0.053,-0.212,1.586,1.804,-1.048,-1.091,0.156,0.01
49,Taurean Waller-Prince,ATL,SF,78,31.0,-0.837,0.719,0.42,1.125,-0.047,-0.084,0.931,0.034,-0.958,0.145,0.023
67,Jonas Valanciunas,TOR,C,77,24.0,1.769,0.494,0.188,-1.257,1.56,-1.0,-1.397,0.684,0.238,0.142,0.085
92,Allen Crabbe,BRK,SG,75,30.0,-0.745,1.003,0.208,1.84,-0.377,-0.677,-0.233,-0.398,0.637,0.14,0.007
