Player.Name,Position,Team,GP,MIN,Z_PTS,Z_REB,Z_AST,Z_BLK,Z_STL,Z_FGP,Z_FTP,Z_X3PM,Z_TO,Z_AVG,Tier
Kevin Durant,SFPF,GSW,81,33.8,2.889,1.983,2.078,3.567,0.212,2.146,1.544,2.428,-2.068,1.642,1
Kawhi Leonard,SGSF,SAS,77,32.4,1.699,1.477,0.593,1.641,2.722,1.717,1.101,0.779,-0.238,1.277,2
James Harden,PGSGSF,HOU,80,37.5,3.383,1.364,3.775,0.871,1.969,0.029,1.417,2.428,-4.461,1.197,2
Draymond Green,SFPF,GSW,81,35.7,0.364,2.941,2.785,3.953,1.467,0.944,-0.896,0.029,-1.646,1.105,2
LeBron James,SFPF,CLE,77,34.9,2.596,1.814,3.634,0.871,1.467,1.888,-0.479,0.329,-2.772,1.039,2
Giannis Antetokounmpo,PGSGSF,MIL,81,34.8,1.37,1.927,2.432,3.182,0.965,1.688,-0.516,-1.171,-2.49,0.821,2
Paul George,SFPF,IND,81,33.7,1.882,1.645,1.442,-0.285,2.22,-0.658,1.253,1.079,-2.209,0.708,2
James Johnson,SFPF,MIA,82,0,-1.082,-1.001,-0.609,0.871,-1.042,2.117,-2.299,-1.171,0.466,-0.417,2
James Ennis,SGSF,MEM,82,0,-1.192,-1.114,-0.963,-0.285,-0.541,-1.945,-0.554,-0.871,1.029,-0.715,2
Jimmy Butler,SGSF,CHI,77,37.8,1.699,0.744,1.583,0.871,1.718,0.658,0.785,0.029,-0.801,0.81,3
Klay Thompson,SGSF,GSW,81,32.3,1.571,-0.269,0.239,0.871,0.212,0.687,1.392,2.728,-0.379,0.784,3
Carmelo Anthony,SFPF,NYK,78,34.9,1.955,2.04,1.159,0.485,0.212,-0.171,0.621,0.629,-1.505,0.603,3
Nicolas Batum,SGSF,CHA,79,34.2,0.693,1.251,2.432,0.871,0.212,-0.572,1.025,1.229,-1.787,0.595,3
Jae Crowder,SFPF,BOS,79,32.1,0.364,0.519,-0.044,0.485,1.718,-0.286,0.634,0.479,0.466,0.482,3
Chandler Parsons,SFPF,MEM,76,34.2,0.858,0.35,0.734,-0.285,0.212,1.145,-0.782,1.079,-0.661,0.294,3
Rudy Gay,SFPF,SAC,76,34.8,1.278,1.308,0.381,0.871,1.467,0.515,0.394,0.029,-1.364,0.542,4
Tobias Harris,SFPF,DET,76,31,0.949,1.195,0.31,0.485,-0.039,0.801,0.924,0.179,0.043,0.539,4
Trevor Ariza,SGSF,HOU,81,31.6,0.089,0.463,0.169,-0.285,2.471,-0.858,0.709,1.378,-0.097,0.449,4
Danilo Gallinari,SF,DEN,71,32.3,1.059,0.407,0.169,0.1,-0.29,-0.829,1.379,0.779,-0.097,0.297,4
DeMar DeRozan,SGSF,TOR,79,35.9,2.01,0.238,1.3,-0.285,0.714,-0.286,0.937,-0.871,-1.364,0.266,4
Evan Fournier,SGSF,ORL,78,34.1,1.004,-0.72,0.734,-1.441,0.714,0.487,0.507,1.378,-0.52,0.238,4
Otto Porter,SF,WAS,78,31.3,0.29,0.632,-0.044,0.1,1.216,0.658,-0.264,0.479,0.466,0.393,5
Robert Covington,SFPF,PHI,76,28.1,0.473,0.632,-0.397,0.485,1.467,-1.201,0.545,2.278,-0.801,0.387,5
Wesley Matthews,SGSF,DAL,80,34.2,0.766,-0.438,0.169,-0.67,0.714,-0.915,0.684,2.278,0.043,0.292,5
Aaron Gordon,SFPF,ORL,79,25.1,0.071,1.645,-0.044,1.256,0.212,0.887,-1.123,-0.871,0.466,0.278,5
Thaddeus Young,SFPF,IND,80,31.8,0.144,1.702,-0.185,0.1,1.216,1.717,-1.363,-1.321,-0.238,0.197,5
Jabari Parker,SFPF,MIL,78,32.2,0.748,0.913,-0.044,0.1,0.463,1.459,-0.112,-1.471,-0.52,0.171,5
Luol Deng,SFPF,LAL,78,28.2,0.382,0.744,0.098,-0.285,0.212,0.172,-0.011,0.179,0.043,0.171,5
Kent Bazemore,SGSF,ATL,80,28.4,0.217,0.519,0.31,0.485,0.965,-0.4,-0.264,0.629,-0.942,0.169,5
Andrew Wiggins,SGSF,MIN,82,35.7,1.773,-0.213,0.098,0.485,0.463,0.773,-0.112,-0.721,-1.224,0.147,5
DeMarre Carroll,SFPF,TOR,75,31.8,0.236,0.576,-0.539,-0.67,1.467,-0.286,-1.224,0.929,0.184,0.075,5
